cycle,pc,addr,hit,ml_busy,ml_done,pf_req,pf_addr,pf_accepted,pf_filled,pf_filled_addr
2612,00000000,00000000,0,0,1,0,00000000,0,0,00000000
2613,00000000,00000000,0,0,0,1,0000003c,0,0,00000000
5431,00000000,00000000,0,0,1,0,0000003c,0,0,00000000
5432,00000000,00000000,0,0,0,1,00000038,0,0,00000000
