delta
0
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
4
0
4
0
4
0
0
4
4
0
0
4
4
4
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
0
4
0
4
4
0
0
4
0
4
0
4
0
4
4
0
0
4
0
0
4
0
24
-4
-4
0
-4
-4
12
8
-20
20
-4
-12
204
4
4
-56
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
4
4
0
0
4
0
4
0
0
4
0
0
4
0
0
4
0
0
4
4
0
4
0
4
0
4
4
0
4
4
0
0
4
0
0
4
0
0
16
20
-16
-4
20
-20
-8
12
12
-20
8
-8
16
-8
-4
-4
200
4
4
4
4
4
-280
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
4
0
0
4
0
4
0
0
4
4
4
0
0
4
0
0
4
0
4
0
0
4
0
0
4
0
4
0
0
4
20
0
-12
16
-16
16
-16
12
0
0
196
4
4
4
4
-148
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
0
4
0
4
0
4
0
4
4
4
4
4
0
4
0
0
4
0
4
0
4
0
0
4
0
4
4
0
0
4
0
4
0
4
0
4
0
4
4
0
4
0
0
4
4
0
12
0
8
-12
4
0
8
0
72
4
4
4
148
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
0
0
4
4
0
4
0
4
4
0
4
0
4
0
0
4
0
0
4
0
4
0
4
0
4
0
4
0
0
4
4
4
0
4
4
4
4
0
0
4
0
0
4
0
0
4
0
4
0
0
4
24
16
-28
12
8
-8
0
-12
8
-4
0
16
-4
0
-8
20
-32
12
108
4
4
4
92
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
4
0
4
0
0
4
0
4
4
0
0
4
0
0
4
4
0
0
4
4
0
0
4
0
0
4
0
4
0
0
4
4
4
4
0
4
0
0
4
4
0
4
0
0
4
4
0
0
4
4
0
0
4
0
4
0
4
28
-20
16
-8
8
-4
-4
-4
8
-12
12
-12
212
4
4
4
4
4
-216
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
4
0
0
4
4
4
0
4
4
4
0
4
4
0
0
4
4
4
0
4
0
0
4
4
4
0
0
4
0
0
4
0
16
4
0
-8
-4
0
20
-12
0
0
8
-16
100
4
4
4
68
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
4
0
4
0
0
4
4
0
4
0
4
0
4
0
0
4
4
0
0
4
4
0
4
0
4
0
0
4
0
4
4
4
0
4
0
0
4
24
-12
4
8
-8
-8
20
4
-20
4
0
12
4
0
8
-8
-16
-8
216
4
4
4
4
4
4
-208
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
0
4
0
4
0
4
4
0
0
4
0
4
0
0
4
0
0
4
4
4
0
0
4
0
20
-4
8
-12
12
0
-16
0
8
-8
140
4
4
4
4
100
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
12
4
0
0
4
4
0
0
4
0
0
4
0
0
4
4
0
0
4
4
0
4
0
4
4
4
0
0
20
-4
0
12
-20
16
0
-8
-4
-4
20
0
112
4
4
-264
4
4
4
4
