cycle,pc,if_pc,addr,hit,ml_busy,ml_done,pf_req,pf_addr,pf_accepted,pf_filled,pf_filled_addr,cache_stall,cache_pf_req,cache_pf_addr,pattern
1745,96,112,1104,1,1,0,0,0,0,0,0,0,0,0,0
1751,72,88,1104,1,1,0,0,0,0,0,0,0,0,0,3
1753,80,92,1120,0,1,0,0,0,0,0,0,1,0,0,3
1756,80,96,1120,1,1,0,0,0,0,0,0,0,0,0,3
1757,88,100,1120,1,1,0,0,0,0,0,0,0,0,0,3
1758,88,104,1120,1,1,0,0,0,0,0,0,0,0,0,3
1760,96,108,1116,0,1,0,0,0,0,0,0,1,0,0,0
1763,96,112,1116,1,1,0,0,0,0,0,0,0,0,0,0
1769,72,88,1116,1,1,0,0,0,0,0,0,0,0,0,3
1771,80,92,1132,0,1,0,0,0,0,0,0,1,0,0,3
1774,80,96,1132,1,1,0,0,0,0,0,0,0,0,0,3
1775,88,100,1132,1,1,0,0,0,0,0,0,0,0,0,3
1776,88,104,1132,1,1,0,0,0,0,0,0,0,0,0,3
1778,96,108,1128,0,1,0,0,0,0,0,0,1,0,0,0
1781,96,112,1128,1,1,0,0,0,0,0,0,0,0,0,0
1787,72,88,1128,1,1,0,0,0,0,0,0,0,0,0,3
1789,80,92,1144,0,1,0,0,0,0,0,0,1,0,0,3
1792,80,96,1144,1,1,0,0,0,0,0,0,0,0,0,3
1793,88,100,1144,1,1,0,0,0,0,0,0,0,0,0,3
1794,88,104,1144,1,1,0,0,0,0,0,0,0,0,0,3
1796,96,108,1140,0,1,0,0,0,0,0,0,1,0,0,0
1799,96,112,1140,1,1,0,0,0,0,0,0,0,0,0,0
1805,72,88,1140,1,1,0,0,0,0,0,0,0,0,0,3
1807,80,92,1156,0,1,0,0,0,0,0,0,1,0,0,3
1810,80,96,1156,1,1,0,0,0,0,0,0,0,0,0,3
1811,88,100,1156,1,1,0,0,0,0,0,0,0,0,0,3
1812,88,104,1156,1,1,0,0,0,0,0,0,0,0,0,3
1814,96,108,1152,0,1,0,0,0,0,0,0,1,0,0,0
1817,96,112,1152,1,1,0,0,0,0,0,0,0,0,0,0
1823,72,88,1152,1,1,0,0,0,0,0,0,0,0,0,3
1825,80,92,1168,0,1,0,0,0,0,0,0,1,0,0,3
1828,80,96,1168,1,1,0,0,0,0,0,0,0,0,0,3
1829,88,100,1168,1,1,0,0,0,0,0,0,0,0,0,3
1830,88,104,1168,1,1,0,0,0,0,0,0,0,0,0,3
1832,96,108,1164,0,1,0,0,0,0,0,0,1,0,0,0
1835,96,112,1164,1,1,0,0,0,0,0,0,0,0,0,0
1841,72,88,1164,1,1,0,0,0,0,0,0,0,0,0,3
1843,80,92,1180,0,1,0,0,0,0,0,0,1,0,0,3
1846,80,96,1180,1,1,0,0,0,0,0,0,0,0,0,3
1847,88,100,1180,1,1,0,0,0,0,0,0,0,0,0,3
1848,88,104,1180,1,1,0,0,0,0,0,0,0,0,0,3
1850,96,108,1176,0,1,0,0,0,0,0,0,1,0,0,0
1853,96,112,1176,1,1,0,0,0,0,0,0,0,0,0,0
1859,72,88,1176,1,1,0,0,0,0,0,0,0,0,0,3
1861,80,92,1192,0,1,0,0,0,0,0,0,1,0,0,3
1864,80,96,1192,1,1,0,0,0,0,0,0,0,0,0,3
1865,88,100,1192,1,1,0,0,0,0,0,0,0,0,0,3
1866,88,104,1192,1,1,0,0,0,0,0,0,0,0,0,3
1868,96,108,1188,0,1,0,0,0,0,0,0,1,0,0,0
1871,96,112,1188,1,1,0,0,0,0,0,0,0,0,0,0
1877,72,88,1188,1,1,0,0,0,0,0,0,0,0,0,3
1879,80,92,1204,0,1,0,0,0,0,0,0,1,0,0,3
1882,80,96,1204,1,1,0,0,0,0,0,0,0,0,0,3
1883,88,100,1204,1,1,0,0,0,0,0,0,0,0,0,3
1884,88,104,1204,1,1,0,0,0,0,0,0,0,0,0,3
1886,96,108,1200,0,1,0,0,0,0,0,0,1,0,0,0
1889,96,112,1200,1,1,0,0,0,0,0,0,0,0,0,0
1895,72,88,1200,1,1,0,0,0,0,0,0,0,0,0,3
1897,80,92,1216,0,1,0,0,0,0,0,0,1,0,0,3
1900,80,96,1216,1,1,0,0,0,0,0,0,0,0,0,3
1901,88,100,1216,1,1,0,0,0,0,0,0,0,0,0,3
1902,88,104,1216,1,1,0,0,0,0,0,0,0,0,0,3
1904,96,108,1212,0,1,0,0,0,0,0,0,1,0,0,0
1907,96,112,1212,1,1,0,0,0,0,0,0,0,0,0,0
1913,72,88,1212,1,1,0,0,0,0,0,0,0,0,0,3
1915,80,92,1228,0,1,0,0,0,0,0,0,1,0,0,3
1918,80,96,1228,1,1,0,0,0,0,0,0,0,0,0,3
1919,88,100,1228,1,1,0,0,0,0,0,0,0,0,0,3
1920,88,104,1228,1,1,0,0,0,0,0,0,0,0,0,3
1922,96,108,1224,0,1,0,0,0,0,0,0,1,0,0,0
1925,96,112,1224,1,1,0,0,0,0,0,0,0,0,0,0
1931,72,88,1224,1,1,0,0,0,0,0,0,0,0,0,3
1933,80,92,1240,0,1,0,0,0,0,0,0,1,0,0,3
1936,80,96,1240,1,1,0,0,0,0,0,0,0,0,0,3
1937,88,100,1240,1,1,0,0,0,0,0,0,0,0,0,3
1938,88,104,1240,1,1,0,0,0,0,0,0,0,0,0,3
1940,96,108,1236,0,1,0,0,0,0,0,0,1,0,0,0
1943,96,112,1236,1,1,0,0,0,0,0,0,0,0,0,0
1949,72,88,1236,1,1,0,0,0,0,0,0,0,0,0,3
1951,80,92,1252,0,1,0,0,0,0,0,0,1,0,0,3
1954,80,96,1252,1,1,0,0,0,0,0,0,0,0,0,3
1955,88,100,1252,1,1,0,0,0,0,0,0,0,0,0,3
1956,88,104,1252,1,1,0,0,0,0,0,0,0,0,0,3
1958,96,108,1248,0,1,0,0,0,0,0,0,1,0,0,0
1961,96,112,1248,1,1,0,0,0,0,0,0,0,0,0,0
1967,72,88,1248,1,1,0,0,0,0,0,0,0,0,0,3
1969,80,92,1264,0,1,0,0,0,0,0,0,1,0,0,3
1972,80,96,1264,1,1,0,0,0,0,0,0,0,0,0,3
1973,88,100,1264,1,1,0,0,0,0,0,0,0,0,0,3
1974,88,104,1264,1,1,0,0,0,0,0,0,0,0,0,3
1976,96,108,1260,0,1,0,0,0,0,0,0,1,0,0,0
1979,96,112,1260,1,1,0,0,0,0,0,0,0,0,0,0
1985,72,88,1260,1,1,0,0,0,0,0,0,0,0,0,3
1987,80,92,1276,0,1,0,0,0,0,0,0,1,0,0,3
1990,80,96,1276,1,1,0,0,0,0,0,0,0,0,0,3
1991,88,100,1276,1,1,0,0,0,0,0,0,0,0,0,3
1992,88,104,1276,1,1,0,0,0,0,0,0,0,0,0,3
1994,96,108,1272,0,1,0,0,0,0,0,0,1,0,0,0
1997,96,112,1272,1,1,0,0,0,0,0,0,0,0,0,0
2003,72,88,1272,1,1,0,0,0,0,0,0,0,0,0,3
2005,80,92,1288,0,1,0,0,0,0,0,0,1,0,0,3
2008,80,96,1288,1,1,0,0,0,0,0,0,0,0,0,3
2009,88,100,1288,1,1,0,0,0,0,0,0,0,0,0,3
2010,88,104,1288,1,1,0,0,0,0,0,0,0,0,0,3
2012,96,108,1284,0,1,0,0,0,0,0,0,1,0,0,0
2015,96,112,1284,1,1,0,0,0,0,0,0,0,0,0,0
2021,72,88,1284,1,1,0,0,0,0,0,0,0,0,0,3
2023,80,92,1300,0,1,0,0,0,0,0,0,1,0,0,3
2026,80,96,1300,1,1,0,0,0,0,0,0,0,0,0,3
2027,88,100,1300,1,1,0,0,0,0,0,0,0,0,0,3
2028,88,104,1300,1,1,0,0,0,0,0,0,0,0,0,3
2030,96,108,1296,0,1,0,0,0,0,0,0,1,0,0,0
2033,96,112,1296,1,1,0,0,0,0,0,0,0,0,0,0
2039,72,88,1296,1,1,0,0,0,0,0,0,0,0,0,3
2041,80,92,1312,0,1,0,0,0,0,0,0,1,0,0,3
2044,80,96,1312,1,1,0,0,0,0,0,0,0,0,0,3
2045,88,100,1312,1,1,0,0,0,0,0,0,0,0,0,3
